Rank,Country (or dependent territory),Population,Date,% of world population,,,,
77,77 - Denmark,33572.76,12/31/2018,0.0936635532778126,,100,35843995.69,10
78,78 - Azerbaijan,32544.29,12/31/2018,0.0907942582112279,,100,35843995.69,10
79,79 - Tunisia,31629.58,12/31/2018,0.0882423384757415,,100,35843995.69,10
80,80 - Cuba,31277.27,12/31/2018,0.0872594402435048,,100,35843995.69,10
81,81 - Myanmar,28461.88,12/31/2018,0.0794048750763032,,100,35843995.69,10
82,82 - Syrian Arab Republic,28377.3,12/31/2018,0.0791689080799574,,100,35843995.69,10
83,83 - Mongolia,25746.78,12/31/2018,0.0718301057244659,,100,35843995.69,10
84,84 - Bosnia and Herzegovina,25618.14,12/31/2018,0.0714712171644053,,100,35843995.69,10
85,85 - Jordan,24564.78,12/31/2018,0.0685324822948052,,100,35843995.69,10
86,86 - Sri Lanka,23978.49,12/31/2018,0.0668968108560778,,100,35843995.69,10
87,87 - Dominican Republic,23110.85,12/31/2018,0.064476210185595,,100,35843995.69,10
88,88 - Lebanon,23102.08,12/31/2018,0.0644517430472886,,100,35843995.69,10
89,89 - Sudan,21056,12/31/2018,0.0587434508755795,,100,35843995.69,10
90,90 - Bolivia,20461.81,12/31/2018,0.0570857394833037,,100,35843995.69,10
91,91 - Ghana,18625.69,12/31/2018,0.0519632078998277,,100,35843995.69,10
92,92 - Kenya,18593.94,12/31/2018,0.0518746296055031,,100,35843995.69,10
93,93 - Estonia,17889.62,12/31/2018,0.0499096701012911,,100,35843995.69,10
94,94 - Guatemala,17759.52,12/31/2018,0.0495467083346254,,100,35843995.69,10
95,95 - Croatia,17466.19,12/31/2018,0.0487283564897672,,100,35843995.69,10
96,96 - Lithuania,15310.55,12/31/2018,0.0427144064306185,,100,35843995.69,10
97,97 - Slovenia,15209.15,12/31/2018,0.0424315138622873,,100,35843995.69,10
98,98 - Ethiopia,14899.61,12/31/2018,0.0415679382646416,,100,35843995.69,10
99,99 - Tanzania,14650.12,12/31/2018,0.0408718942126399,,100,35843995.69,10
100,100 - Côte d'Ivoire,12504.52,12/31/2018,0.0348859544235706,,100,35843995.69,10
101,101- Yemen,12502.78,12/31/2018,0.0348811000540548,,100,35843995.69,10
102,102 - Panama,12255.71,12/31/2018,0.0341918074814945,,100,35843995.69,10
103,103 - Zimbabwe,12086.51,12/31/2018,0.0337197618941015,,100,35843995.69,10
104,104 - Georgia,11558.13,12/31/2018,0.0322456516844872,,100,35843995.69,10
105,105 - Kyrgyzstan,11180.3,12/31/2018,0.0311915560326863,,100,35843995.69,10
106,106 - Honduras,10562.46,12/31/2018,0.0294678642731418,,100,35843995.69,10
107,107 - Cambodia,10560.24,12/31/2018,0.0294616707672079,,100,35843995.69,10
108,108 - Cameroon,9767.59,12/31/2018,0.0272502822633834,,100,35843995.69,10
109,109 - Senegal,9688.87,12/31/2018,0.0270306638908091,,100,35843995.69,10
110,110 - Luxembourg,9540.39,12/31/2018,0.0266164243587989,,100,35843995.69,10
111,111 - Republic of Moldova,8262.75,12/31/2018,0.0230519779978246,,100,35843995.69,10
112,112 - Nepal,8217.83,12/31/2018,0.0229266571480273,,100,35843995.69,10
113,113 - Costa Rica,8137.52,12/31/2018,0.0227026028860679,,100,35843995.69,10
114,"114 - Macedonia, the former Yugoslav Republic of",8049.4,12/31/2018,0.0224567597586384,,100,35843995.69,10
115,115 - Latvia,8049.27,12/31/2018,0.0224563970758585,,100,35843995.69,10
116,116 - Botswana,7912.99,12/31/2018,0.0220761939278093,,100,35843995.69,10
117,117 - El Salvador,7856.83,12/31/2018,0.0219195149668873,,100,35843995.69,10
118,118 - Mozambique,7753.73,12/31/2018,0.0216318796237418,,100,35843995.69,10
119,119 - Jamaica,7545.52,12/31/2018,0.0210510013036998,,100,35843995.69,10
120,120 - Benin,7096.94,12/31/2018,0.0197995225236007,,100,35843995.69,10
121,121 - Cyprus,7034.88,12/31/2018,0.0196263833442058,,100,35843995.69,10
122,122 - Uruguay,6930.07,12/31/2018,0.0193339773275706,,100,35843995.69,10
123,123 - Brunei,6711.24,12/31/2018,0.0187234706142774,,100,35843995.69,10
124,124 - Gabon,6563.77,12/31/2018,0.0183120488484804,,100,35843995.69,10
125,125 - Paraguay,6535.08,12/31/2018,0.0182320075488213,,100,35843995.69,10
126,126 - Antigua and Barbuda,624.14,12/31/2018,0.0174126792503249,,100,35843995.69,10
127,127 - Nicaragua,5918.96,12/31/2018,0.0165131143614419,,100,35843995.69,10
128,128 - Tajikistan,5699.27,12/31/2018,0.0159002083620661,,100,35843995.69,10
129,129 - Congo,5513.91,12/31/2018,0.0153830785152625,,100,35843995.69,10
130,130 - Zambia,4967.42,12/31/2018,0.0138584438045389,,100,35843995.69,10
131,131 - Papua New Guinea,4350.6,12/31/2018,0.012137597709883,,100,35843995.69,10
132,132 - Nauru,4298.64,12/31/2018,0.0119926361926197,,100,35843995.69,10
133,133 - Madagascar,4156.23,12/31/2018,0.0115953311565639,,100,35843995.69,10
134,134 - Iceland,4096.62,12/31/2018,0.0114290271526366,,100,35843995.69,10
135,135 - Mauritius,3993.26,12/31/2018,0.0111406664439313,,100,35843995.69,10
136,136 - Namibia,3901.8,12/31/2018,0.0108855051589255,,100,35843995.69,10
137,137 - Haiti,3520.91,12/31/2018,0.009822872512459,,100,35843995.69,10
138,138 - Democratic Republic of Congo,3495.95,12/31/2018,0.00975323741871591,,100,35843995.69,10
139,139 - Burkina Faso,3398.76,12/31/2018,0.00948209019271869,,100,35843995.69,10
140,140 - Barbados,3172.22,12/31/2018,0.0088500736007091,,100,35843995.69,10
141,141 - Bahamas,2996.97,12/31/2018,0.00836114931471246,,100,35843995.69,10
142,142 - Mauritania,2961.84,12/31/2018,0.00826314126811011,,100,35843995.69,10
143,143 - Togo,2842.94,12/31/2018,0.00793142601786759,,100,35843995.69,10
144,144 - Lao People's Democratic Republic,2818.1,12/31/2018,0.00786212570822904,,100,35843995.69,10
145,145 - Guinea,2730.6,12/31/2018,0.00761801229867294,,100,35843995.69,10
146,146 - Niger,2497.14,12/31/2018,0.00696668982330189,,100,35843995.69,10
147,147 - Equatorial Guinea,2469.01,12/31/2018,0.00688821084946403,,100,35843995.69,10
148,148 - Suriname,2212.88,12/31/2018,0.00617364207701142,,100,35843995.69,10
149,149 - Malta,1876.29,12/31/2018,0.00523460056246871,,100,35843995.69,10
150,150 - Guyana,1770.58,12/31/2018,0.00493968366504956,,100,35843995.69,10
151,151 - Malawi,1572.41,12/31/2018,0.00438681561508691,,100,35843995.69,10
152,152 - Bhutan,1454.29,12/31/2018,0.00405727646152387,,100,35843995.69,10
153,153 - Fiji,1440.33,12/31/2018,0.0040183299106964,,100,35843995.69,10
154,154 - Palau,1410.5,12/31/2018,0.00393510816204431,,100,35843995.69,10
155,155 - Sierra Leone,1308.92,12/31/2018,0.00365171341755621,,100,35843995.69,10
156,156 - Swaziland,1246.69,12/31/2018,0.00347809996067991,,100,35843995.69,10
157,157 - Liberia,1128.95,12/31/2018,0.00314962095678123,,100,35843995.69,10
158,158 - Rwanda,1105.57,12/31/2018,0.00308439385374784,,100,35843995.69,10
159,159 - Djibouti,1013.8,12/31/2018,0.0028283677098054,,100,35843995.69,10
160,160 - Seychelles,968.42,12/31/2018,0.00270176352094076,,100,35843995.69,10
161,161 - Maldives,964.33,12/31/2018,0.00269035296271123,,100,35843995.69,10
162,162 - Cape Verde,955.46,12/31/2018,0.00266560683765108,,100,35843995.69,10
163,163 - Mali,951.11,12/31/2018,0.00265347091386172,,100,35843995.69,10
164,164 - Somaliland,926.98,12/31/2018,0.002586151410175,,100,35843995.69,10
165,165 - Chad,924.9,12/31/2018,0.00258034848569641,,100,35843995.69,10
166,166 - Lesotho,753.7,12/31/2018,0.00210272316322779,,100,35843995.69,10
167,167 - Eritrea,736.5,12/31/2018,0.0020547374415779,,100,35843995.69,10
168,168 - Franch Guyana,718.76,12/31/2018,0.00200524519145761,,100,35843995.69,10
169,169 - Greenland,517.72,12/31/2018,0.00144437022166152,,100,35843995.69,10
170,170 - Central African Republic,485.94,12/31/2018,0.00135570823131075,,100,35843995.69,10
171,171 - Belize,440.07,12/31/2018,0.0012277370073526,,100,35843995.69,10
172,172 - Timor-Leste,422.02,12/31/2018,0.0011773798982956,,100,35843995.69,10
173,173 - Guinea-Bissau,408.63,12/31/2018,0.00114002357196467,,100,35843995.69,10
174,174 - Saint Lucia,363.78,12/31/2018,0.00101489801289506,,100,35843995.69,10
175,175 - Burundi,289.29,12/31/2018,0.000807080780005528,,100,35843995.69,10
176,176 - Grenada,279.78,12/31/2018,0.000780549139721202,,100,35843995.69,10
177,177 - Western Sahara,276.37,12/31/2018,0.000771035691417359,,100,35843995.69,10
178,178 - Angola,27.62,12/31/2018,0.000770561413935936,,100,35843995.69,10
179,179 - Saint Kitts and Nevis,237.87,12/31/2018,0.000663625791212676,,100,35843995.69,10
180,180 - Comoros,205.63,12/31/2018,0.00057368046179452,,100,35843995.69,10
181,181 - Saint Vincent and the Grenadines,179.18,12/31/2018,0.000499888465420134,,100,35843995.69,10
182,182 - Turks and Caicos Islands,165.13,12/31/2018,0.000460690826514269,,100,35843995.69,10
183,183 - São Tomé and Príncipe,157.13,12/31/2018,0.000438371886211997,,100,35843995.69,10
184,184 - Samoa,147.41,12/31/2018,0.000411254373744737,,100,35843995.69,10
185,185 - Solomon Islands,146.43,12/31/2018,0.000408520303557709,,100,35843995.69,10
186,186 - Tonga,135.8,12/31/2018,0.000378864011631065,,100,35843995.69,10
187,187 - Dominica,121.91,12/31/2018,0.000340112751531245,,100,35843995.69,10
188,188 - Vanuatu,91.07,12/31/2018,0.000254073236665987,,100,35843995.69,10
189,189 - Kiribati,30.2,12/31/2018,0.0000842539996410763,,100,35843995.69,10
,,12086.51,x,0.0000842539996410763,,,,
,,,,,,,,
,,24978864.26,100,,,,,
